Department,JobRole,Age,MonthlyIncome,JobSatisfaction,OverTime,WorkLifeBalance,risk_score,risk_level,Attrition
Sales,Sales Executive,25,4487,4,Yes,3,35,Medium Risk,No
Research & Development,Research Scientist,37,4449,3,Yes,3,45,Medium Risk,No
Research & Development,Laboratory Technician,31,2218,1,No,3,35,Medium Risk,No
Research & Development,Manager,39,19197,3,Yes,3,35,Medium Risk,No
Sales,Sales Executive,56,13212,1,No,2,55,High Risk,No
Sales,Sales Executive,30,6577,3,No,3,25,Medium Risk,No
Sales,Sales Executive,41,8392,1,No,3,40,Medium Risk,No
Research & Development,Laboratory Technician,28,4558,1,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,25,4031,1,No,3,40,Medium Risk,Yes
Research & Development,Manufacturing Director,52,7969,3,Yes,3,20,Low Risk,No
Research & Development,Research Scientist,45,2654,4,No,2,45,Medium Risk,No
Research & Development,Manager,52,16555,4,No,1,20,Low Risk,No
Research & Development,Research Scientist,42,4556,3,No,3,15,Low Risk,No
Research & Development,Manufacturing Director,30,6091,4,No,3,0,Low Risk,No
Research & Development,Manager,60,19566,1,No,1,70,High Risk,No
Research & Development,Manufacturing Director,46,4810,3,No,2,20,Low Risk,No
Research & Development,Healthcare Representative,42,4523,4,No,4,0,Low Risk,No
Sales,Sales Representative,24,3202,2,Yes,3,60,High Risk,Yes
Sales,Sales Representative,34,2351,3,No,2,30,Medium Risk,Yes
Research & Development,Laboratory Technician,38,1702,4,Yes,3,30,Medium Risk,No
Sales,Manager,40,18041,3,No,3,0,Low Risk,No
Research & Development,Research Scientist,26,2886,4,No,1,45,Medium Risk,No
Research & Development,Laboratory Technician,30,2097,4,No,1,30,Medium Risk,No
Research & Development,Research Director,29,11935,3,No,3,15,Low Risk,No
Research & Development,Research Scientist,29,2546,2,No,4,35,Medium Risk,Yes
Human Resources,Human Resources,19,2564,4,No,4,25,Medium Risk,Yes
Sales,Sales Executive,30,8412,1,No,3,35,Medium Risk,No
Sales,Manager,57,14118,4,No,2,35,Medium Risk,No
Research & Development,Manager,50,17046,3,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,30,2564,4,No,2,40,Medium Risk,No
Sales,Sales Executive,60,10266,1,No,4,35,Medium Risk,No
Research & Development,Manufacturing Director,47,5070,4,No,3,15,Low Risk,No
Research & Development,Research Director,46,17861,3,No,1,35,Medium Risk,No
Research & Development,Laboratory Technician,35,4230,3,No,3,10,Low Risk,No
Research & Development,Laboratory Technician,54,3780,3,No,3,0,Low Risk,No
Research & Development,Research Scientist,34,2768,3,No,3,20,Low Risk,No
Sales,Sales Executive,46,9071,4,Yes,3,20,Low Risk,No
Research & Development,Manufacturing Director,31,10648,2,No,4,25,Medium Risk,No
Research & Development,Manager,33,13610,3,Yes,4,45,Medium Risk,Yes
Research & Development,Laboratory Technician,33,3408,4,No,3,15,Low Risk,Yes
Sales,Sales Representative,30,2983,2,No,3,35,Medium Risk,No
Research & Development,Healthcare Representative,35,7632,3,Yes,3,20,Low Risk,No
Research & Development,Healthcare Representative,31,9824,3,No,3,15,Low Risk,Yes
Human Resources,Human Resources,34,9950,1,Yes,3,60,High Risk,Yes
Research & Development,Laboratory Technician,42,2093,3,No,3,25,Medium Risk,No
Sales,Sales Executive,36,9980,4,No,2,45,Medium Risk,No
Research & Development,Laboratory Technician,22,3894,3,No,3,0,Low Risk,Yes
Sales,Sales Executive,48,4051,4,No,3,25,Medium Risk,No
Sales,Manager,55,16835,2,No,3,50,High Risk,No
Sales,Sales Executive,41,6230,4,No,3,0,Low Risk,No
Sales,Sales Executive,35,4717,3,No,3,25,Medium Risk,No
Research & Development,Manufacturing Director,40,13237,3,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,39,3755,3,No,3,0,Low Risk,No
Sales,Sales Executive,31,6582,4,Yes,4,35,Medium Risk,No
Research & Development,Manufacturing Director,42,7406,1,Yes,2,75,High Risk,No
Sales,Sales Executive,45,4805,2,No,4,25,Medium Risk,No
Human Resources,Human Resources,26,2741,3,Yes,2,65,High Risk,Yes
Research & Development,Manufacturing Director,29,4262,4,No,4,0,Low Risk,No
Research & Development,Research Director,33,16184,3,No,3,15,Low Risk,No
Sales,Manager,31,11557,4,No,2,20,Low Risk,No
Sales,Sales Representative,18,1878,2,Yes,3,70,High Risk,Yes
Sales,Sales Executive,40,10932,1,No,3,25,Medium Risk,No
Research & Development,Healthcare Representative,41,6811,3,Yes,3,35,Medium Risk,No
Sales,Sales Executive,26,4306,3,No,3,15,Low Risk,No
Sales,Sales Executive,35,4859,3,No,3,15,Low Risk,No
Sales,Sales Executive,34,5337,4,No,3,10,Low Risk,No
Research & Development,Laboratory Technician,26,2340,4,Yes,1,50,High Risk,Yes
Research & Development,Manufacturing Director,37,7491,4,No,4,15,Low Risk,No
Research & Development,Healthcare Representative,46,10527,3,No,2,35,Medium Risk,No
Sales,Manager,41,16595,1,No,3,50,High Risk,No
Sales,Sales Executive,37,8834,2,No,3,50,High Risk,No
Research & Development,Research Scientist,52,5577,1,Yes,3,55,High Risk,No
Sales,Sales Executive,32,4707,3,No,3,0,Low Risk,Yes
Sales,Sales Representative,24,2400,4,No,3,10,Low Risk,No
Research & Development,Healthcare Representative,38,9824,3,No,3,0,Low Risk,No
Research & Development,Manufacturing Director,37,6447,2,No,2,70,High Risk,No
Research & Development,Research Director,49,19502,3,Yes,3,20,Low Risk,No
Research & Development,Research Scientist,24,2725,4,Yes,3,45,Medium Risk,No
Sales,Sales Executive,26,6272,2,No,4,40,Medium Risk,No
Research & Development,Laboratory Technician,24,2127,2,No,3,35,Medium Risk,No
Human Resources,Manager,50,18200,2,No,3,50,High Risk,No
Sales,Sales Representative,25,2096,3,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,24,2886,3,Yes,3,45,Medium Risk,Yes
Sales,Sales Representative,30,2033,1,No,4,50,High Risk,Yes
Research & Development,Research Scientist,34,3622,4,Yes,3,35,Medium Risk,No
Sales,Sales Executive,31,4233,1,No,1,60,High Risk,Yes
Research & Development,Laboratory Technician,35,3681,4,No,3,15,Low Risk,No
Sales,Sales Executive,31,5460,4,No,4,25,Medium Risk,No
Research & Development,Research Scientist,27,2187,3,No,2,45,Medium Risk,No
Sales,Sales Executive,37,9602,3,Yes,2,40,Medium Risk,No
Research & Development,Research Scientist,20,2836,2,No,4,35,Medium Risk,No
Research & Development,Healthcare Representative,42,4089,4,No,3,0,Low Risk,No
Research & Development,Research Director,43,16627,4,Yes,2,55,High Risk,No
Research & Development,Research Scientist,38,2619,1,No,2,55,High Risk,No
Research & Development,Laboratory Technician,43,5679,3,Yes,3,30,Medium Risk,No
Research & Development,Manager,48,15402,1,No,1,45,Medium Risk,No
Human Resources,Human Resources,44,5985,3,No,4,15,Low Risk,No
Sales,Sales Representative,34,2579,3,Yes,3,30,Medium Risk,No
Sales,Sales Representative,27,3041,1,No,3,25,Medium Risk,Yes
Sales,Sales Representative,21,3447,3,No,3,0,Low Risk,No
Research & Development,Manager,44,19513,4,Yes,4,20,Low Risk,No
Research & Development,Research Scientist,22,2773,3,No,3,25,Medium Risk,No
Sales,Sales Executive,33,7104,3,No,3,0,Low Risk,No
Research & Development,Research Scientist,32,6322,4,Yes,2,55,High Risk,No
Research & Development,Research Scientist,30,2083,3,No,3,10,Low Risk,No
Sales,Sales Executive,53,8381,1,No,4,35,Medium Risk,No
Research & Development,Research Scientist,34,2691,4,No,2,55,High Risk,No
Sales,Sales Executive,45,4286,1,No,3,40,Medium Risk,Yes
Research & Development,Laboratory Technician,26,2659,4,Yes,3,30,Medium Risk,No
Research & Development,Manufacturing Director,37,9434,3,No,3,10,Low Risk,No
Sales,Sales Executive,29,5561,3,No,2,35,Medium Risk,No
Research & Development,Research Scientist,35,6646,4,No,3,25,Medium Risk,No
Research & Development,Healthcare Representative,33,7725,4,No,1,30,Medium Risk,No
Human Resources,Human Resources,54,10725,2,No,4,35,Medium Risk,No
Research & Development,Manufacturing Director,36,8847,2,Yes,3,60,High Risk,No
Research & Development,Research Scientist,27,2045,4,No,3,25,Medium Risk,No
Research & Development,Research Scientist,20,1009,3,Yes,3,30,Medium Risk,Yes
Research & Development,Research Scientist,33,3348,1,Yes,3,70,High Risk,Yes
Research & Development,Laboratory Technician,35,1281,3,No,3,10,Low Risk,No
Research & Development,Research Scientist,23,2819,1,No,4,50,High Risk,No
Sales,Sales Executive,25,4851,2,No,3,25,Medium Risk,No
Sales,Sales Executive,38,4028,4,No,3,0,Low Risk,No
Research & Development,Research Scientist,29,2720,4,No,3,25,Medium Risk,No
Sales,Sales Executive,48,8120,2,No,3,40,Medium Risk,No
Sales,Sales Executive,27,4647,4,Yes,3,20,Low Risk,No
Research & Development,Research Scientist,37,4680,4,No,3,0,Low Risk,No
Research & Development,Laboratory Technician,50,3221,3,Yes,3,20,Low Risk,No
Research & Development,Healthcare Representative,34,8621,2,No,4,35,Medium Risk,No
Sales,Sales Executive,24,4577,3,No,3,15,Low Risk,Yes
Research & Development,Healthcare Representative,39,4553,3,No,3,10,Low Risk,No
Sales,Sales Executive,32,5396,4,No,2,20,Low Risk,No
Sales,Sales Executive,50,6796,3,Yes,3,35,Medium Risk,Yes
Research & Development,Healthcare Representative,38,7625,4,No,2,35,Medium Risk,No
Research & Development,Manufacturing Director,27,7412,1,No,3,25,Medium Risk,No
Research & Development,Research Director,32,11159,4,No,3,10,Low Risk,No
Sales,Sales Executive,47,4960,1,No,3,25,Medium Risk,No
Sales,Sales Executive,40,10475,1,Yes,3,45,Medium Risk,No
Research & Development,Research Director,53,14814,3,No,3,0,Low Risk,No
Human Resources,Manager,41,19141,4,No,2,45,Medium Risk,No
Sales,Sales Executive,60,5405,1,No,3,40,Medium Risk,No
Research & Development,Manufacturing Director,27,8793,1,No,2,45,Medium Risk,No
Human Resources,Manager,41,19189,3,No,3,0,Low Risk,No
Sales,Sales Representative,50,3875,2,No,3,25,Medium Risk,No
Research & Development,Research Scientist,28,2216,2,Yes,3,70,High Risk,Yes
Research & Development,Research Director,36,11713,1,No,3,40,Medium Risk,No
Research & Development,Manufacturing Director,38,7861,3,Yes,4,20,Low Risk,No
Research & Development,Laboratory Technician,44,3708,3,No,3,15,Low Risk,No
Sales,Sales Executive,47,13770,3,Yes,2,50,High Risk,No
Sales,Sales Executive,30,5304,4,No,2,30,Medium Risk,No
Sales,Sales Representative,29,2642,3,No,3,10,Low Risk,No
Research & Development,Research Scientist,42,2759,3,Yes,3,30,Medium Risk,Yes
Sales,Sales Executive,43,6804,4,No,3,0,Low Risk,No
Research & Development,Healthcare Representative,34,6142,3,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,23,2500,1,No,4,50,High Risk,No
Human Resources,Human Resources,39,6389,2,No,1,45,Medium Risk,No
Research & Development,Healthcare Representative,56,11103,4,No,2,20,Low Risk,No
Research & Development,Research Scientist,40,2342,4,Yes,2,50,High Risk,No
Research & Development,Healthcare Representative,27,6811,1,No,1,45,Medium Risk,No
Sales,Sales Representative,29,2297,2,No,3,35,Medium Risk,No
Research & Development,Laboratory Technician,53,2450,4,No,3,10,Low Risk,No
Research & Development,Healthcare Representative,35,5093,1,No,4,25,Medium Risk,No
Research & Development,Laboratory Technician,32,5309,4,No,3,25,Medium Risk,No
Research & Development,Research Scientist,38,3057,3,Yes,1,40,Medium Risk,No
Research & Development,Manufacturing Director,34,5121,1,No,3,40,Medium Risk,No
Sales,Manager,52,16856,1,No,4,25,Medium Risk,No
Research & Development,Research Scientist,33,2686,4,Yes,2,60,High Risk,Yes
Sales,Sales Executive,25,6180,4,No,2,20,Low Risk,No
Sales,Sales Representative,45,6632,3,No,3,15,Low Risk,No
Research & Development,Research Scientist,23,3505,3,No,3,15,Low Risk,No
Sales,Sales Executive,47,6397,3,Yes,3,35,Medium Risk,Yes
Sales,Sales Executive,34,6274,4,No,3,0,Low Risk,No
Research & Development,Manager,55,19859,1,Yes,3,45,Medium Risk,Yes
Sales,Sales Executive,36,7587,1,No,3,40,Medium Risk,No
Research & Development,Research Scientist,52,4258,4,No,3,0,Low Risk,No
Research & Development,Laboratory Technician,26,4364,4,No,3,15,Low Risk,No
Research & Development,Healthcare Representative,29,4335,3,No,2,35,Medium Risk,No
Sales,Sales Executive,26,5326,1,No,2,45,Medium Risk,Yes
Research & Development,Research Scientist,34,3280,4,No,3,15,Low Risk,No
Research & Development,Manufacturing Director,54,5485,1,Yes,3,45,Medium Risk,No
Sales,Sales Executive,27,4342,4,No,3,0,Low Risk,No
Research & Development,Research Scientist,37,2782,1,Yes,2,85,High Risk,No
Research & Development,Manufacturing Director,38,5980,1,Yes,3,70,High Risk,No
Research & Development,Research Scientist,34,4381,1,No,3,25,Medium Risk,No
Sales,Sales Representative,35,2572,4,No,2,45,Medium Risk,No
Research & Development,Laboratory Technician,30,3833,3,No,3,0,Low Risk,No
Research & Development,Healthcare Representative,40,4244,2,No,3,25,Medium Risk,No
Sales,Sales Executive,34,6500,1,No,3,25,Medium Risk,No
Research & Development,Manager,42,18430,4,No,2,45,Medium Risk,No
Research & Development,Laboratory Technician,23,1601,1,Yes,3,55,High Risk,Yes
Research & Development,Laboratory Technician,24,2694,2,No,3,35,Medium Risk,No
Research & Development,Laboratory Technician,52,3149,3,No,3,0,Low Risk,No
Research & Development,Research Director,50,17639,3,No,3,0,Low Risk,No
Research & Development,Laboratory Technician,29,2319,1,Yes,3,70,High Risk,Yes
Research & Development,Research Director,33,11691,3,No,4,0,Low Risk,No
Sales,Sales Executive,33,5324,1,No,3,40,Medium Risk,Yes
Research & Development,Manager,47,16752,4,Yes,2,40,Medium Risk,No
Research & Development,Manufacturing Director,36,5228,2,No,3,25,Medium Risk,No
Research & Development,Research Scientist,29,2700,3,No,3,10,Low Risk,No
Research & Development,Research Director,58,19246,2,Yes,3,55,High Risk,Yes
Research & Development,Research Scientist,35,2506,3,No,3,10,Low Risk,No
Research & Development,Manufacturing Director,42,6062,4,Yes,3,20,Low Risk,No
Research & Development,Research Scientist,28,4382,3,No,2,20,Low Risk,Yes
Human Resources,Human Resources,36,2143,2,No,3,35,Medium Risk,No
Research & Development,Manufacturing Director,32,6162,3,No,3,10,Low Risk,No
Research & Development,Laboratory Technician,40,5094,3,No,3,15,Low Risk,No
Research & Development,Manufacturing Director,30,6877,4,Yes,2,40,Medium Risk,No
Research & Development,Research Scientist,45,2274,3,No,3,25,Medium Risk,No
Research & Development,Manufacturing Director,42,4434,2,No,2,70,High Risk,No
Research & Development,Healthcare Representative,38,6288,1,No,2,60,High Risk,No
Research & Development,Research Scientist,34,2553,4,No,3,10,Low Risk,No
Sales,Sales Executive,49,7654,4,No,4,10,Low Risk,Yes
Sales,Sales Executive,55,5160,4,No,2,30,Medium Risk,Yes
Research & Development,Research Director,43,17159,1,No,3,40,Medium Risk,No
Research & Development,Research Director,27,12808,4,Yes,3,20,Low Risk,No
Research & Development,Manufacturing Director,35,10221,3,No,4,0,Low Risk,No
Sales,Sales Executive,28,4779,2,Yes,3,70,High Risk,No
Human Resources,Human Resources,34,3737,4,No,1,20,Low Risk,No
Research & Development,Research Scientist,26,2366,3,Yes,3,30,Medium Risk,Yes
Research & Development,Research Scientist,27,1706,4,No,2,30,Medium Risk,No
Sales,Manager,51,16307,3,No,2,45,Medium Risk,No
Research & Development,Healthcare Representative,44,5933,2,No,2,45,Medium Risk,No
Research & Development,Research Scientist,25,3424,1,No,2,60,High Risk,No
Sales,Sales Executive,33,4037,1,No,3,40,Medium Risk,No
Research & Development,Research Scientist,35,2559,1,No,2,55,High Risk,No
Sales,Sales Executive,36,6201,4,Yes,2,65,High Risk,No
Sales,Sales Executive,32,4403,4,No,2,35,Medium Risk,No
Research & Development,Research Scientist,30,3761,4,No,2,35,Medium Risk,No
Sales,Sales Executive,53,10934,4,Yes,3,35,Medium Risk,No
Sales,Sales Executive,45,10761,1,Yes,3,45,Medium Risk,No
Research & Development,Research Scientist,32,5175,3,No,2,20,Low Risk,No
Research & Development,Manufacturing Director,52,13826,4,No,3,0,Low Risk,No
Sales,Sales Executive,37,6334,3,No,3,0,Low Risk,No
Human Resources,Human Resources,28,4936,4,No,3,15,Low Risk,No
Research & Development,Manufacturing Director,22,4775,4,No,1,20,Low Risk,No
Research & Development,Laboratory Technician,44,2818,4,Yes,2,65,High Risk,No
Research & Development,Research Scientist,42,2515,4,Yes,3,45,Medium Risk,No
Human Resources,Human Resources,36,2342,1,No,3,50,High Risk,No
Sales,Sales Executive,25,4194,1,Yes,3,45,Medium Risk,No
Research & Development,Manufacturing Director,35,10685,3,Yes,3,30,Medium Risk,No
Research & Development,Research Scientist,35,2022,2,Yes,2,85,High Risk,Yes
Research & Development,Laboratory Technician,32,2314,4,No,3,10,Low Risk,No
Sales,Sales Executive,25,4256,1,No,4,25,Medium Risk,No
Research & Development,Research Scientist,49,3580,1,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,24,3162,4,No,2,35,Medium Risk,No
Sales,Sales Executive,32,6524,2,No,3,50,High Risk,No
Sales,Sales Representative,38,2899,2,No,3,50,High Risk,No
Research & Development,Laboratory Technician,42,5231,4,Yes,2,40,Medium Risk,No
Research & Development,Research Scientist,31,2356,4,Yes,3,30,Medium Risk,No
Sales,Sales Representative,29,2800,3,Yes,3,45,Medium Risk,Yes
Sales,Sales Executive,53,11836,4,No,3,15,Low Risk,No
Research & Development,Manufacturing Director,35,10903,2,No,3,35,Medium Risk,No
Sales,Sales Representative,37,2973,4,No,3,10,Low Risk,No
Research & Development,Research Director,53,14275,4,No,3,0,Low Risk,No
Research & Development,Healthcare Representative,43,5562,4,No,2,20,Low Risk,No
Sales,Sales Executive,47,4537,4,Yes,3,30,Medium Risk,No
Sales,Sales Executive,37,7642,2,Yes,3,60,High Risk,No
Research & Development,Manager,50,17924,1,No,3,50,High Risk,No
Human Resources,Human Resources,39,5204,4,No,3,0,Low Risk,No
Human Resources,Human Resources,33,2277,2,Yes,4,55,High Risk,No
Research & Development,Laboratory Technician,32,2795,4,Yes,1,65,High Risk,Yes
Research & Development,Laboratory Technician,29,2532,4,No,3,25,Medium Risk,No
Research & Development,Research Scientist,44,2559,1,Yes,3,80,High Risk,No
Sales,Sales Executive,28,4908,4,No,3,15,Low Risk,No
Research & Development,Laboratory Technician,58,2380,4,Yes,2,50,High Risk,Yes
Research & Development,Manufacturing Director,43,4765,2,No,4,40,Medium Risk,No
Sales,Sales Representative,20,2044,3,No,2,30,Medium Risk,Yes
Research & Development,Research Scientist,21,2693,4,No,2,30,Medium Risk,Yes
Research & Development,Healthcare Representative,36,6586,4,Yes,2,50,High Risk,No
Sales,Sales Representative,47,3294,4,Yes,2,40,Medium Risk,No
Research & Development,Manufacturing Director,22,4171,3,Yes,4,35,Medium Risk,Yes
Research & Development,Laboratory Technician,41,2778,4,Yes,2,65,High Risk,Yes
Research & Development,Research Scientist,28,2377,3,No,3,10,Low Risk,No
Research & Development,Laboratory Technician,39,2404,1,Yes,1,75,High Risk,Yes
Research & Development,Research Scientist,27,2318,3,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,34,2008,2,No,3,50,High Risk,No
Sales,Sales Executive,42,6244,3,No,3,0,Low Risk,No
Research & Development,Research Scientist,33,2799,1,Yes,3,55,High Risk,No
Research & Development,Healthcare Representative,58,10552,2,Yes,3,45,Medium Risk,No
Sales,Sales Representative,31,2329,3,No,4,35,Medium Risk,No
Research & Development,Healthcare Representative,35,4014,4,Yes,1,40,Medium Risk,No
Research & Development,Laboratory Technician,49,7403,2,No,2,60,High Risk,No
Research & Development,Research Scientist,48,2259,3,No,2,30,Medium Risk,No
Sales,Sales Executive,31,6932,3,No,2,20,Low Risk,No
Research & Development,Research Scientist,36,4678,4,No,3,15,Low Risk,No
Research & Development,Research Director,38,13582,1,No,3,35,Medium Risk,No
Research & Development,Laboratory Technician,32,2332,2,No,3,35,Medium Risk,No
Sales,Sales Representative,25,2413,2,Yes,3,55,High Risk,Yes
Sales,Sales Executive,40,9705,2,No,2,60,High Risk,No
Sales,Sales Executive,26,4294,1,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,41,4721,1,Yes,3,45,Medium Risk,No
Research & Development,Laboratory Technician,36,2519,3,No,3,10,Low Risk,No
Sales,Sales Representative,19,2121,2,Yes,4,55,High Risk,Yes
Research & Development,Laboratory Technician,20,2973,1,No,3,50,High Risk,Yes
Research & Development,Healthcare Representative,31,5855,4,Yes,1,50,High Risk,No
Research & Development,Research Scientist,40,3617,2,Yes,3,45,Medium Risk,No
Research & Development,Manufacturing Director,32,6725,1,No,4,35,Medium Risk,No
Sales,Sales Executive,36,10325,4,Yes,3,20,Low Risk,Yes
Research & Development,Healthcare Representative,33,6949,4,No,3,15,Low Risk,No
Sales,Sales Executive,37,10609,3,No,1,45,Medium Risk,Yes
Research & Development,Laboratory Technician,45,4447,2,No,2,45,Medium Risk,No
Sales,Sales Representative,29,2157,4,No,3,10,Low Risk,No
Sales,Sales Executive,35,4601,3,No,3,0,Low Risk,No
Research & Development,Manager,52,17099,4,No,2,30,Medium Risk,No
Research & Development,Research Scientist,58,2479,3,No,3,10,Low Risk,Yes
Sales,Manager,53,14852,3,No,4,10,Low Risk,No
Sales,Sales Executive,30,7264,3,No,4,10,Low Risk,No
Sales,Sales Executive,38,5666,4,Yes,3,20,Low Risk,No
Sales,Sales Executive,35,7823,4,No,3,0,Low Risk,No
Sales,Sales Executive,39,7880,3,No,3,15,Low Risk,No
Sales,Sales Executive,40,13194,2,Yes,2,80,High Risk,Yes
Research & Development,Manufacturing Director,47,5067,3,Yes,4,20,Low Risk,No
Sales,Sales Executive,36,5079,4,No,3,15,Low Risk,No
Research & Development,Research Scientist,31,2321,1,Yes,3,55,High Risk,Yes
Sales,Manager,33,17444,3,No,3,10,Low Risk,No
Research & Development,Research Scientist,29,2404,1,Yes,3,55,High Risk,Yes
Research & Development,Research Scientist,33,3452,4,No,3,15,Low Risk,No
Research & Development,Laboratory Technician,45,2270,4,No,3,10,Low Risk,No
Research & Development,Research Director,50,17399,4,No,2,20,Low Risk,No
Research & Development,Healthcare Representative,33,5488,2,Yes,3,45,Medium Risk,No
Research & Development,Research Director,41,19419,3,No,4,15,Low Risk,No
Research & Development,Laboratory Technician,27,2811,2,No,3,35,Medium Risk,No
Research & Development,Laboratory Technician,45,3633,1,Yes,3,45,Medium Risk,No
Sales,Sales Executive,47,4163,4,Yes,3,20,Low Risk,No
Research & Development,Research Scientist,30,2132,3,Yes,3,45,Medium Risk,Yes
Research & Development,Manufacturing Director,50,13973,3,Yes,3,20,Low Risk,No
Research & Development,Research Scientist,38,2684,3,No,2,30,Medium Risk,No
Research & Development,Manufacturing Director,46,10845,3,No,3,0,Low Risk,No
Research & Development,Manufacturing Director,24,4377,3,No,3,0,Low Risk,No
Research & Development,Laboratory Technician,35,3743,2,Yes,1,65,High Risk,Yes
Research & Development,Manufacturing Director,31,4148,1,No,3,25,Medium Risk,No
Research & Development,Research Scientist,18,1051,4,No,3,25,Medium Risk,No
Research & Development,Manufacturing Director,54,10739,3,No,3,0,Low Risk,No
Research & Development,Healthcare Representative,35,10388,3,Yes,2,50,High Risk,No
Research & Development,Research Director,30,11416,1,Yes,2,80,High Risk,No
Research & Development,Research Scientist,20,2600,1,Yes,3,55,High Risk,Yes
Research & Development,Laboratory Technician,30,2422,2,No,3,50,High Risk,Yes
Research & Development,Manufacturing Director,26,5472,4,No,3,0,Low Risk,No
Research & Development,Laboratory Technician,22,2451,1,No,2,70,High Risk,No
Research & Development,Healthcare Representative,48,4240,3,No,3,15,Low Risk,No
Research & Development,Healthcare Representative,48,10999,3,No,3,10,Low Risk,No
Research & Development,Manufacturing Director,41,5003,3,No,3,0,Low Risk,No
Research & Development,Manufacturing Director,39,12742,4,No,3,10,Low Risk,No
Research & Development,Manufacturing Director,27,4227,4,No,3,15,Low Risk,No
Research & Development,Laboratory Technician,35,3917,4,No,2,35,Medium Risk,No
Sales,Manager,42,18303,3,No,4,0,Low Risk,No
Research & Development,Laboratory Technician,50,2380,4,No,3,25,Medium Risk,No
Research & Development,Manufacturing Director,59,13726,4,Yes,3,30,Medium Risk,No
Research & Development,Healthcare Representative,37,4777,2,No,1,60,High Risk,Yes
Research & Development,Healthcare Representative,55,6385,2,Yes,3,55,High Risk,No
Research & Development,Research Director,41,19973,3,No,3,25,Medium Risk,No
Sales,Sales Executive,38,6861,4,Yes,3,35,Medium Risk,No
Sales,Sales Executive,26,4969,1,No,3,40,Medium Risk,Yes
Sales,Manager,52,19845,4,No,3,25,Medium Risk,Yes
Sales,Sales Executive,44,13320,4,Yes,3,30,Medium Risk,No
Sales,Sales Executive,50,6347,3,No,3,0,Low Risk,No
Research & Development,Laboratory Technician,36,2743,1,No,3,45,Medium Risk,Yes
Research & Development,Manufacturing Director,39,10880,1,Yes,3,45,Medium Risk,No
Sales,Sales Representative,33,2342,4,No,2,45,Medium Risk,No
Sales,Manager,45,17650,4,No,4,0,Low Risk,No
Research & Development,Laboratory Technician,32,4025,3,No,3,10,Low Risk,No
Sales,Sales Executive,34,9725,4,No,2,35,Medium Risk,No
Sales,Manager,59,11904,4,Yes,1,55,High Risk,No
Human Resources,Human Resources,45,2177,2,No,3,50,High Risk,No
Sales,Sales Executive,53,7525,2,No,3,35,Medium Risk,No
Research & Development,Laboratory Technician,36,4834,3,No,2,35,Medium Risk,Yes
Research & Development,Research Scientist,26,2042,1,Yes,3,70,High Risk,Yes
Sales,Sales Representative,34,2220,3,Yes,3,30,Medium Risk,No
Sales,Sales Representative,28,1052,2,No,3,35,Medium Risk,No
Research & Development,Research Scientist,38,2821,3,No,3,10,Low Risk,No
Research & Development,Research Director,50,19237,3,Yes,2,65,High Risk,No
Research & Development,Healthcare Representative,37,4107,2,No,2,45,Medium Risk,No
Sales,Sales Executive,40,8396,1,No,2,55,High Risk,No
Research & Development,Research Scientist,26,2007,3,No,3,25,Medium Risk,No
Research & Development,Research Director,46,19627,4,No,3,0,Low Risk,No
Sales,Sales Executive,54,10686,3,No,3,10,Low Risk,No
Research & Development,Research Scientist,56,2942,3,No,3,25,Medium Risk,No
Research & Development,Manufacturing Director,36,8858,4,No,2,30,Medium Risk,No
Research & Development,Manager,55,16756,1,No,4,35,Medium Risk,No
Sales,Sales Executive,43,10798,4,No,3,0,Low Risk,No
Sales,Sales Representative,20,2323,4,Yes,3,30,Medium Risk,Yes
Research & Development,Laboratory Technician,21,1416,1,No,2,55,High Risk,Yes
Research & Development,Research Scientist,46,4615,1,Yes,3,45,Medium Risk,No
Research & Development,Research Scientist,51,2461,3,Yes,4,45,Medium Risk,Yes
Research & Development,Healthcare Representative,28,8722,1,No,2,60,High Risk,Yes
Research & Development,Laboratory Technician,26,3955,1,No,3,40,Medium Risk,No
Research & Development,Manufacturing Director,30,9957,1,No,2,45,Medium Risk,No
Research & Development,Research Scientist,41,3376,3,No,3,15,Low Risk,No
Research & Development,Healthcare Representative,38,8823,3,No,2,20,Low Risk,No
Research & Development,Healthcare Representative,40,10322,4,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,27,4621,3,No,3,15,Low Risk,No
Research & Development,Manufacturing Director,55,10976,2,No,3,25,Medium Risk,No
Research & Development,Research Scientist,28,3660,3,No,4,0,Low Risk,No
Human Resources,Human Resources,44,10482,1,No,3,40,Medium Risk,Yes
Research & Development,Healthcare Representative,33,7119,4,No,3,0,Low Risk,No
Sales,Sales Executive,35,9582,1,Yes,3,55,High Risk,Yes
Research & Development,Research Scientist,33,4508,3,No,3,15,Low Risk,Yes
Research & Development,Laboratory Technician,28,2207,3,No,2,45,Medium Risk,No
Research & Development,Healthcare Representative,34,7756,4,No,2,35,Medium Risk,No
Sales,Sales Executive,37,6694,4,Yes,3,20,Low Risk,No
